Sentença	Id	Index	Granularidade	Documento
Bom dia pessoal, Produto muito bom, sou bem chato na compra de cuecas, comprei essa Marca e me impressionei com a qualidade do tecido.	1	0	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
A entrega foi exatamente como o prometido, dentro do prazo.	1	1	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Parabéns ao Lojista.	1	2	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Breve retornarei realizar pedidos desse produto.	1	3	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
0	1	-1	1	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Muito bom, simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento	2	0	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
fa para ver que foi uma otima compra.	2	1	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
1	2	-1	1	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis.	3	0	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
Todos funcionam perfeitamente, inclusive para lavar roupas delicadas de bebê.	3	1	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas.	3	2	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
2	3	-1	1	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
o porta filtro é muito mal projetado, o filtro permanente que acompanha deixa passar muito pó e se vc coloca um filtro descartavel o café não passa e transborda todo o pó de qualquer jeito não coa.	4	0	0	o porta filtro é muito mal projetado , o filtro permanente que acompanha deixa passar muito pó e se vc coloca um filtro descartavel o café não passa e transborda todo o pó de qualquer jeito não coa . e para completar vazou água embaixo e acabou queimando . muito ruim não recomendo a compra e nem vou buscar assistencia para não passar mais raiva , ainda mais porque peguei em uma promoção da americanas por R$ 49,99 .
e para completar vazou água embaixo e acabou queimando.	4	1	0	o porta filtro é muito mal projetado , o filtro permanente que acompanha deixa passar muito pó e se vc coloca um filtro descartavel o café não passa e transborda todo o pó de qualquer jeito não coa . e para completar vazou água embaixo e acabou queimando . muito ruim não recomendo a compra e nem vou buscar assistencia para não passar mais raiva , ainda mais porque peguei em uma promoção da americanas por R$ 49,99 .
muito ruim não recomendo a compra e nem vou buscar assistencia para não passar mais raiva, ainda mais porque peguei em uma promoção da americanas por R$ 49,99.	4	2	0	o porta filtro é muito mal projetado , o filtro permanente que acompanha deixa passar muito pó e se vc coloca um filtro descartavel o café não passa e transborda todo o pó de qualquer jeito não coa . e para completar vazou água embaixo e acabou queimando . muito ruim não recomendo a compra e nem vou buscar assistencia para não passar mais raiva , ainda mais porque peguei em uma promoção da americanas por R$ 49,99 .
3	4	-1	1	o porta filtro é muito mal projetado , o filtro permanente que acompanha deixa passar muito pó e se vc coloca um filtro descartavel o café não passa e transborda todo o pó de qualquer jeito não coa . e para completar vazou água embaixo e acabou queimando . muito ruim não recomendo a compra e nem vou buscar assistencia para não passar mais raiva , ainda mais porque peguei em uma promoção da americanas por R$ 49,99 .
o produto é bom porem a empresa não disponibiliza quantas capsulas vem, muito menos a qantidade de cápsulas	5	0	0	o produto é bom porem a empresa não disponibiliza quantas capsulas vem , muito menos a qantidade de cápsulas
4	5	-1	1	o produto é bom porem a empresa não disponibiliza quantas capsulas vem , muito menos a qantidade de cápsulas
Comprei o boneco antes do natal veio com o braço solto pedi para trocarem fez 3 semanas e nada	6	0	0	Comprei o boneco antes do natal veio com o braço solto pedi para trocarem fez 3 semanas e nada
5	6	-1	1	Comprei o boneco antes do natal veio com o braço solto pedi para trocarem fez 3 semanas e nada
Amei o aspirador.	7	0	0	Amei o aspirador . Pesquisei bastante antes de comprar e superou as minhas expectativas . Tem uma potência muito boa , as peças são fáceis de trocar . É muito fácil para limpar e não ocupa muito espaço .
Pesquisei bastante antes de comprar e superou as minhas expectativas.	7	1	0	Amei o aspirador . Pesquisei bastante antes de comprar e superou as minhas expectativas . Tem uma potência muito boa , as peças são fáceis de trocar . É muito fácil para limpar e não ocupa muito espaço .
Tem uma potência muito boa, as peças são fáceis de trocar.	7	2	0	Amei o aspirador . Pesquisei bastante antes de comprar e superou as minhas expectativas . Tem uma potência muito boa , as peças são fáceis de trocar . É muito fácil para limpar e não ocupa muito espaço .
É muito fácil para limpar e não ocupa muito espaço.	7	3	0	Amei o aspirador . Pesquisei bastante antes de comprar e superou as minhas expectativas . Tem uma potência muito boa , as peças são fáceis de trocar . É muito fácil para limpar e não ocupa muito espaço .
6	7	-1	1	Amei o aspirador . Pesquisei bastante antes de comprar e superou as minhas expectativas . Tem uma potência muito boa , as peças são fáceis de trocar . É muito fácil para limpar e não ocupa muito espaço .
Por ser Blackout a protecão contra a luz do sol deixa a desejar, quanto a cortina em si, bom material e acaabamento	8	0	0	Por ser Blackout a protecão contra a luz do sol deixa a desejar , quanto a cortina em si , bom material e acaabamento
7	8	-1	1	Por ser Blackout a protecão contra a luz do sol deixa a desejar , quanto a cortina em si , bom material e acaabamento
Excelente produto, uma série formidável sobre os emaranhados da formação psicológica e social do indivíduo, muito bem produzido e fiel ao clássico do mago do cinema Alfred Hitchcock em um Box muito bonito esteticamente e por um ótimo preço.	9	0	0	Excelente produto , uma série formidável sobre os emaranhados da formação psicológica e social do indivíduo , muito bem produzido e fiel ao clássico do mago do cinema Alfred Hitchcock em um Box muito bonito esteticamente e por um ótimo preço .
8	9	-1	1	Excelente produto , uma série formidável sobre os emaranhados da formação psicológica e social do indivíduo , muito bem produzido e fiel ao clássico do mago do cinema Alfred Hitchcock em um Box muito bonito esteticamente e por um ótimo preço .
A propagando nos levar crer que estamos comprando um produto de alta pressão.	10	0	0	"A propagando nos levar crer que estamos comprando um produto de alta pressão . Pois além da potencia técnica ser 1750 Lbs o nome do Produto leva a grafia de "" 2200 que confunde completamente o consumidor leigo . Comparei as 1750lbs da Lavadora Wap com as 1750Lbs do concorrente ( TEKNE ) e fiquei surpreso com a diferença . Por isso não recomendo este produto ."
Pois além da potencia técnica ser 1750	10	1	0	"A propagando nos levar crer que estamos comprando um produto de alta pressão . Pois além da potencia técnica ser 1750 Lbs o nome do Produto leva a grafia de "" 2200 que confunde completamente o consumidor leigo . Comparei as 1750lbs da Lavadora Wap com as 1750Lbs do concorrente ( TEKNE ) e fiquei surpreso com a diferença . Por isso não recomendo este produto ."
"Lbs o nome do Produto leva a grafia de ""2200 que confunde completamente o consumidor leigo."	10	2	0	"A propagando nos levar crer que estamos comprando um produto de alta pressão . Pois além da potencia técnica ser 1750 Lbs o nome do Produto leva a grafia de "" 2200 que confunde completamente o consumidor leigo . Comparei as 1750lbs da Lavadora Wap com as 1750Lbs do concorrente ( TEKNE ) e fiquei surpreso com a diferença . Por isso não recomendo este produto ."
Comparei as 1750lbs da Lavadora	10	3	0	"A propagando nos levar crer que estamos comprando um produto de alta pressão . Pois além da potencia técnica ser 1750 Lbs o nome do Produto leva a grafia de "" 2200 que confunde completamente o consumidor leigo . Comparei as 1750lbs da Lavadora Wap com as 1750Lbs do concorrente ( TEKNE ) e fiquei surpreso com a diferença . Por isso não recomendo este produto ."
Wap com as 1750Lbs do concorrente (TEKNE) e fiquei surpreso com a diferença.	10	4	0	"A propagando nos levar crer que estamos comprando um produto de alta pressão . Pois além da potencia técnica ser 1750 Lbs o nome do Produto leva a grafia de "" 2200 que confunde completamente o consumidor leigo . Comparei as 1750lbs da Lavadora Wap com as 1750Lbs do concorrente ( TEKNE ) e fiquei surpreso com a diferença . Por isso não recomendo este produto ."
Por isso não recomendo este produto.	10	5	0	"A propagando nos levar crer que estamos comprando um produto de alta pressão . Pois além da potencia técnica ser 1750 Lbs o nome do Produto leva a grafia de "" 2200 que confunde completamente o consumidor leigo . Comparei as 1750lbs da Lavadora Wap com as 1750Lbs do concorrente ( TEKNE ) e fiquei surpreso com a diferença . Por isso não recomendo este produto ."
9	10	-1	1	"A propagando nos levar crer que estamos comprando um produto de alta pressão . Pois além da potencia técnica ser 1750 Lbs o nome do Produto leva a grafia de "" 2200 que confunde completamente o consumidor leigo . Comparei as 1750lbs da Lavadora Wap com as 1750Lbs do concorrente ( TEKNE ) e fiquei surpreso com a diferença . Por isso não recomendo este produto ."
Realmente o produto funciona, estoura todas pipocas, a única coisa a pontuar é a dificuldade em temperar a pipoca, a dica que tem no manual de derreter manteiga e jogar por cima após o preparo resolve este detalhe, agora se usa somente sal, vai sentir muito pouco o tempero, no mais o produto é excelente, não desperdiça nenhum grão.	11	0	0	Realmente o produto funciona , estoura todas pipocas , a única coisa a pontuar é a dificuldade em temperar a pipoca , a dica que tem no manual de derreter manteiga e jogar por cima após o preparo resolve este detalhe , agora se usa somente sal , vai sentir muito pouco o tempero , no mais o produto é excelente , não desperdiça nenhum grão .
10	11	-1	1	Realmente o produto funciona , estoura todas pipocas , a única coisa a pontuar é a dificuldade em temperar a pipoca , a dica que tem no manual de derreter manteiga e jogar por cima após o preparo resolve este detalhe , agora se usa somente sal , vai sentir muito pouco o tempero , no mais o produto é excelente , não desperdiça nenhum grão .
O produto é de ótima qualidade, tamanho bom, portátil e leve.	12	0	0	O produto é de ótima qualidade , tamanho bom , portátil e leve . Foi o unico modelo que coube no meu quarto de casal , que é pequeno porque moro em apartamento . A unica coisa que nao nos agradou muito foi o fundo da altura mais alta , achamos muito duro para deixar um bebe dormindo , precisa ser forrado com algo ou um colchonete ( apesar da marca não recomendar ) .
Foi o unico modelo que coube no meu quarto de casal, que é pequeno porque moro em apartamento.	12	1	0	O produto é de ótima qualidade , tamanho bom , portátil e leve . Foi o unico modelo que coube no meu quarto de casal , que é pequeno porque moro em apartamento . A unica coisa que nao nos agradou muito foi o fundo da altura mais alta , achamos muito duro para deixar um bebe dormindo , precisa ser forrado com algo ou um colchonete ( apesar da marca não recomendar ) .
A unica coisa que nao nos agradou muito foi o fundo da altura mais alta, achamos muito duro para deixar um bebe dormindo, precisa ser forrado com algo ou um colchonete (apesar da marca não recomendar).	12	2	0	O produto é de ótima qualidade , tamanho bom , portátil e leve . Foi o unico modelo que coube no meu quarto de casal , que é pequeno porque moro em apartamento . A unica coisa que nao nos agradou muito foi o fundo da altura mais alta , achamos muito duro para deixar um bebe dormindo , precisa ser forrado com algo ou um colchonete ( apesar da marca não recomendar ) .
11	12	-1	1	O produto é de ótima qualidade , tamanho bom , portátil e leve . Foi o unico modelo que coube no meu quarto de casal , que é pequeno porque moro em apartamento . A unica coisa que nao nos agradou muito foi o fundo da altura mais alta , achamos muito duro para deixar um bebe dormindo , precisa ser forrado com algo ou um colchonete ( apesar da marca não recomendar ) .
Nossa o oculos é lindo demais, amei e a qualidade é bem acima do que esperava.	13	0	0	Nossa o oculos é lindo demais , amei e a qualidade é bem acima do que esperava . Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida .
Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida.	13	1	0	Nossa o oculos é lindo demais , amei e a qualidade é bem acima do que esperava . Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida .
12	13	-1	1	Nossa o oculos é lindo demais , amei e a qualidade é bem acima do que esperava . Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida .
Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos (isso porque ele não caiu e/ou sofreu qualquer tipo de batida).	14	0	0	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
Eu comprei achando que era um controle original, mas é uma cópia (mal feita inclusive) de um.	14	1	0	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
Sinceramente, vou ter que acabar comprando outro (de outro vendedor, é claro), pois a qualidade desse não é boa.	14	2	0	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
13	14	-1	1	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
O PRODUTO É DE BOA QUALIDADE, ATENDE	15	0	0	O PRODUTO É DE BOA QUALIDADE , ATENDE AS EXPECTATIVAS , NÃO É TÃO FORTE , MAS SUPRE AS NECESSIDADES .
AS EXPECTATIVAS, NÃO É TÃO FORTE, MAS SUPRE AS NECESSIDADES.	15	1	0	O PRODUTO É DE BOA QUALIDADE , ATENDE AS EXPECTATIVAS , NÃO É TÃO FORTE , MAS SUPRE AS NECESSIDADES .
14	15	-1	1	O PRODUTO É DE BOA QUALIDADE , ATENDE AS EXPECTATIVAS , NÃO É TÃO FORTE , MAS SUPRE AS NECESSIDADES .
